Order No,Order Date,Line No,Ship To Address No,Item Code,Order Qty,Quantity Shipped
528880,1/3/2019,3,1833299,1040726,1,1
528880,1/3/2019,4,1833299,10105916,1,1
528880,1/3/2019,5,1833299,1040992,1,1
528880,1/3/2019,6,1833299,110441,1,1
528881,1/3/2019,1,2168582,1038323,1,1
528881,1/3/2019,2,2168582,1040992,1,1
528882,1/3/2019,1,43824719,1039305,1,1
528882,1/3/2019,2,43824719,10098739,1,1
528883,1/3/2019,1,2269693,1041108,1,1
528884,1/3/2019,1,1912760,10098739,2,2
528884,1/3/2019,2,1912760,10105916,1,1
528885,1/3/2019,1,43823573,1040726,1,1
528886,1/3/2019,1,1255192,111931,30,30
528887,1/3/2019,1,2168582,1038324,1,1
528888,1/3/2019,1,1255192,111931,40,40
528889,1/3/2019,1,2269692,1038323,1,1
528889,1/3/2019,2,2269692,10106111,1,1
528889,1/3/2019,3,2269692,1041108,1,1
528889,1/3/2019,4,2269692,10105916,1,1
528889,1/3/2019,5,2269692,110441,1,1
528890,1/3/2019,1,43824731,1029071,1,1
528890,1/3/2019,2,43824731,1041107,1,1
528891,1/3/2019,1,2269872,1041108,1,1
528891,1/3/2019,2,2269872,1038323,1,1
528891,1/3/2019,3,2269872,1039823,1,1
528892,1/3/2019,1,1912760,1029071,1,1
528892,1/3/2019,2,1912760,1041108,1,1
528894,1/3/2019,1,1833483,10106229,1,1
528895,1/3/2019,1,43823773,1038323,1,1
528895,1/3/2019,2,43823773,1029071,1,1
528896,1/3/2019,1,43824735,1038324,1,1
528897,1/3/2019,1,2208690,1029071,1,1
528925,1/4/2019,1,1751541,10098739,7,7
528926,1/4/2019,1,2168589,10098739,11,11
528926,1/4/2019,2,2168589,110441,1,1
528927,1/4/2019,1,1493821,10098739,14,14
528927,1/4/2019,2,1493821,110441,4,4
528928,1/4/2019,1,43824751,10098739,9,9
528928,1/4/2019,2,43824751,110441,5,5
528929,1/4/2019,1,1912593,10098739,2,2
528929,1/4/2019,2,1912593,110441,2,2
528930,1/4/2019,1,2269694,10098739,4,4
528930,1/4/2019,2,2269694,110441,1,1
528931,1/4/2019,1,1889872,10098739,3,3
528931,1/4/2019,2,1889872,110441,1,1
528932,1/4/2019,1,2168603,10098739,3,3
528932,1/4/2019,2,2168603,110441,1,1
528933,1/4/2019,1,2100570,10098739,4,4
528934,1/4/2019,1,1473294,10098739,2,2
528935,1/4/2019,1,1384981,10098739,3,3
528936,1/4/2019,1,1384958,10098739,2,2
528937,1/4/2019,1,1797488,10098739,7,7
528937,1/4/2019,2,1797488,110441,1,1
528938,1/4/2019,1,1497991,110441,2,2
528938,1/4/2019,2,1497991,10098739,11,11
528939,1/4/2019,1,1751541,10098739,2,2
528939,1/4/2019,2,1751541,1038324,1,1
528939,1/4/2019,3,1751541,110441,1,1
528940,1/4/2019,1,43824737,110441,1,1
528940,1/4/2019,2,43824737,1040726,1,1
528941,1/4/2019,1,1497989,1040776,1,1
528943,1/4/2019,1,1510339,1040774,2,2
528943,1/4/2019,2,1510339,1040776,1,1
528944,1/4/2019,1,1510339,1039305,1,1
528944,1/4/2019,2,1510339,1039306,1,1
528944,1/4/2019,3,1510339,10098739,2,2
528944,1/4/2019,4,1510339,110441,3,3
528944,1/4/2019,5,1510339,1038323,2,2
528944,1/4/2019,6,1510339,1038324,2,2
528944,1/4/2019,7,1510339,1039822,1,1
528944,1/4/2019,8,1510339,1039823,1,1
528944,1/4/2019,9,1510339,1040774,3,3
528944,1/4/2019,10,1510339,1040776,2,2
528944,1/4/2019,11,1510339,1040992,1,1
528944,1/4/2019,12,1510339,1040991,1,1
528945,1/4/2019,1,1510339,1038323,1,1
528945,1/4/2019,2,1510339,1040992,1,1
528945,1/4/2019,3,1510339,1040991,1,1
528946,1/4/2019,1,43824737,1039823,1,1
528948,1/4/2019,1,1967893,10098739,1,1
528948,1/4/2019,2,1967893,1038324,1,1
528949,1/4/2019,1,2133267,10106111,1,1
528949,1/4/2019,2,2133267,1040992,1,1
528950,1/4/2019,1,43824877,1039305,1,1
528951,1/4/2019,1,1497989,1038324,1,1
528952,1/4/2019,1,1510339,1039305,4,4
528952,1/4/2019,2,1510339,1039306,3,3
528952,1/4/2019,3,1510339,10098739,1,1
528952,1/4/2019,4,1510339,110441,1,1
528952,1/4/2019,5,1510339,1038323,2,2
528952,1/4/2019,6,1510339,1038324,4,4
528952,1/4/2019,7,1510339,1039822,2,2
528952,1/4/2019,8,1510339,1040992,5,5
528952,1/4/2019,9,1510339,1040991,3,3
528954,1/4/2019,1,1510339,10105916,196,196
528954,1/4/2019,3,1510339,10106229,153,153
528956,1/4/2019,1,43824737,10098739,4,4
528956,1/4/2019,2,43824737,110441,2,2
528956,1/4/2019,3,43824737,10106229,2,2
528957,1/4/2019,1,2133267,10098739,6,6
528957,1/4/2019,2,2133267,110441,1,1
528958,1/4/2019,1,1497989,10098739,6,6
528959,1/4/2019,1,1510339,10098739,53,53
528959,1/4/2019,2,1510339,110441,18,18
528960,1/4/2019,1,2100566,10098739,11,11
528961,1/4/2019,1,1930116,10098739,5,5
528961,1/4/2019,2,1930116,110441,2,2
528963,1/4/2019,1,1476818,10098739,5,5
528963,1/4/2019,2,1476818,110441,4,4
528970,1/4/2019,1,1751541,1038324,1,1
528970,1/4/2019,2,1751541,1038323,1,1
528971,1/4/2019,1,1700442,1038323,1,1
528971,1/4/2019,2,1700442,1038324,1,1
528972,1/4/2019,1,1254729,1038323,1,1
528972,1/4/2019,2,1254729,1038324,1,1
528973,1/4/2019,1,2269694,10105916,1,1
528973,1/4/2019,2,2269694,1038324,1,1
528974,1/4/2019,1,1254732,1038323,3,3
528974,1/4/2019,2,1254732,1038324,4,4
528975,1/4/2019,1,1384958,1041108,1,1
528975,1/4/2019,2,1384958,1038324,1,1
528976,1/4/2019,1,1254725,110441,1,1
528976,1/4/2019,2,1254725,10098739,4,4
528977,1/4/2019,1,1493821,1038324,1,1
528978,1/4/2019,1,1889872,1041108,1,1
528979,1/4/2019,1,1254732,10098739,13,13
528979,1/4/2019,2,1254732,110441,8,8
528980,1/4/2019,3,1912593,1039823,1,1
528981,1/4/2019,1,1254729,10098739,17,17
528981,1/4/2019,2,1254729,110441,8,8
528982,1/4/2019,1,43824771,10098739,8,8
528982,1/4/2019,2,43824771,110441,3,3
528983,1/4/2019,1,2255438,1038324,1,1
528984,1/4/2019,1,2255438,10098739,3,3
528985,1/4/2019,1,1967447,10098739,7,7
528986,1/4/2019,1,43823583,10098739,12,12
